t,analytic,euler_n20
0,1,1
0.25,0.9975585820182863,1
0.5,0.9817693801036046,0.9922281054276612
0.75,0.9428470908190849,0.9635667195433391
1,0.8748263659237393,0.9055972568759595
1.25,0.7754058893055225,0.8142735191240046
1.5,0.6456811742100936,0.6895357299418206
1.75,0.489756917337445,0.5348360978732911
2,0.314242936757576,0.35656555949259533
2.25,0.1276493993635232,0.1633874604826609
2.5,-0.06029323640953921,-0.034502810318689126
2.75,-0.23935676268671213,-0.22616301162575025
3,-0.3995427100863571,-0.4006978533774286
3.25,-0.5317753013894663,-0.5480215141831828
3.5,-0.6285212657790489,-0.6595485546575237
3.75,-0.6843014651129478,-0.7287755878158418
4,-0.696065238641403,-0.7517215301967716
4.25,-0.6634063071166885,-0.7272020528634817
4.5,-0.5886084602788172,-0.6569234121260595
4.75,-0.4765194704421404,-0.5453915089522395
5,-0.3342620711004134,-0.3996430934921855
